921,919,2,953,1.0,1,245.0,0.004544837330287965,60.0,6.954210640941199e-06,6550502.765034445,0.20879762470160498
951,947,4,1015,1.0,1,284.0,0.006028704156226619,60.0,8.02105415323153e-06,6232398.289748999,0.23627414011754186
981,977,4,1045,1.0,1,291.0,0.0012744152099406882,60.0,2.2269799000487298e-06,10588716.336288327,0.24239119915247556
1011,1007,4,1075,1.0,1,213.0,0.0018825335079505684,60.0,9.558570396894528e-06,9360700.463293023,0.2572057124864586
1041,1036,5,1121,1.0,1,238.0,0.008616641202094806,60.0,4.595317207711464e-06,2799626.485113548,0.24428795662740982
1071,1066,5,1151,1.0,1,228.0,0.0015584895654260499,60.0,2.1185451309875677e-06,17198440.92938284,0.2130069806695388
1101,1096,5,1181,1.0,1,251.0,0.0012252340548640534,60.0,2.100884816641811e-06,19019525.998830695,0.22331008245484826
1131,1126,5,1211,1.0,1,228.0,0.006758181683231057,60.0,2.904775860051535e-06,10687795.59123459,0.2884561891899552
1161,1156,5,1241,1.0,1,288.0,0.005088164482507696,60.0,9.214592527386225e-06,4888115.143319327,0.23111371546636572
1191,1186,5,1271,1.0,1,278.0,0.003891147887863105,60.0,7.8350645747628e-06,17124629.367071345,0.26826173975134143
1221,1216,5,1301,1.0,1,295.0,0.0042095213898567345,60.0,8.351253434706628e-06,12471904.793625757,0.20577816830501558
1251,1246,5,1331,1.0,1,282.0,0.002370937676635535,60.0,2.3331361323296368e-06,15904304.674571376,0.24768015172665736
1281,1276,5,1361,1.0,1,294.0,0.006897087645012282,60.0,6.241699434650275e-06,13933423.788872069,0.20335560275851683
1311,1306,5,1391,1.0,1,277.0,0.0026677358717545493,60.0,7.161682892721529e-06,15398561.241341127,0.26450801282073083
1341,1336,5,1421,1.0,1,241.0,0.007073398155701523,60.0,5.240556895295133e-06,14251128.804019636,0.20672813996416428
1371,1366,5,1451,1.0,1,264.0,0.00712403098788847,60.0,3.55215019578917e-06,13726667.676668428,0.24956098464334034
1401,1396,5,1481,1.0,1,213.0,0.007476839528686849,60.0,5.901300734406424e-06,8015998.883126037,0.22698586947943294
1431,1426,5,1511,1.0,1,228.0,0.008898439984677878,60.0,8.783200522391727e-06,12437352.975320663,0.2559261437977498
1461,1456,5,1541,1.0,1,270.0,0.0053561330550241665,60.0,5.054839533526732e-06,11313336.706280451,0.23766935600792352
1491,1486,5,1571,1.0,1,223.0,0.0032533129975321515,60.0,9.343381670803076e-06,5240348.630095848,0.22426487787700403
